Population code	Population elastic ID	Population name	Population description	Population latitude	Population longitude	Superpopulation code	Superpopulation name	Superpopulation display colour	Superpopulation display order	Data collections
	HazaraHGDP	Hazara	Hazara in Pakistan (HGDP)	33.500000	70.000000		Central South Asia (HGDP)	#d8ffdf	8	Human Genome Diversity Project
	SheSGDP	She	She in China (SGDP)	27.000000	119.000000		East Asia (SGDP)	#ff48de	16	Simons Genome Diversity Project
STU	STU	Tamil	Sri Lankan Tamil in the UK	52.486243	-1.890401	SAS	South Asian Ancestry	#c44cfd	5	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1000 Genomes phase 3 release
ITU	ITU	Telugu	Indian Telugu in the UK	52.486243	-1.890401	SAS	South Asian Ancestry	#c44cfd	5	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1000 Genomes phase 3 release
GWJ	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	13.454876	-16.579032	AFR	African Ancestry	#ffd845	1	Gambian Genome Variation Project (GRCh37),Gambian Genome Variation Project (GRCh38)
GBR	GBR	British	British in England and Scotland	52.486243	-1.890401	EUR	European Ancestry	#018ead	4	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
	BrahuiHGDP	Brahui	Brahui in Pakistan (HGDP)	30.500000	66.500000		Central South Asia (HGDP)	#d8ffdf	8	Human Genome Diversity Project
	CambodianHGDP	Cambodian	Cambodian in Cambodia (HGDP)	12.000000	105.000000		East Asia (HGDP)	#b35200	9	HGDP Transcriptome,Human Genome Diversity Project
	DaiHGDP	Dai	Dai in China (HGDP)	21.000000	100.000000		East Asia (HGDP)	#b35200	9	Human Genome Diversity Project
	DruzeHGDP	Druze	Druze in Carmel, Israel (HGDP)	32.000000	35.000000		Middle East (HGDP)	#4e2100	11	Human Genome Diversity Project
	SamaritanSGDP	Samaritan	Samaritan in Israel (SGDP)	32.200000	35.300000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	KalashSGDP	Kalash	Kalash in Pakistan (SGDP)	36.000000	71.500000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	TubalarSGDP	Tubalar	Tubalar in Russia (SGDP)	51.133333	87.000000		Central Asia and Siberia (SGDP)	#01daa0	15	Simons Genome Diversity Project
	NorthOssetianSGDP	North Ossetian	North Ossetian in Russia (SGDP)	43.000000	44.700000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	MendeSGDP	Mende	Mende in Sierra Leone (SGDP)	8.500000	-13.200000		Africa (SGDP)	#12eeff	13	Simons Genome Diversity Project
	LezginSGDP	Lezgin	Lezgin in Russia (SGDP)	42.100000	48.200000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	BalochiSGDP	Balochi	Balochi in Pakistan (SGDP)	30.500000	66.500000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	KhomaniSanSGDP	Khomani San	Khomani San in South Africa (SGDP)	-27.000000	20.800000		Africa (SGDP)	#12eeff	13	Simons Genome Diversity Project
	ZapotecSGDP	Zapotec	Zapotec in Mexico (SGDP)	16.500000	-97.200000		America (SGDP)	#310079	14	Simons Genome Diversity Project
	CzechSGDP	Czech	Czech in Czechoslovakia(pre1989) (SGDP)	50.100000	14.400000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	LahuSGDP	Lahu	Lahu in China (SGDP)	22.000000	100.000000		East Asia (SGDP)	#ff48de	16	Simons Genome Diversity Project
	BasqueSGDP	Basque	Basque in France (SGDP)	43.000000	0.000000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	KhondaDoraSGDP	Khonda Dora	Khonda Dora in India (SGDP)	18.300000	82.900000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	EstonianSGDP	Estonian	Estonian in Estonia (SGDP)	58.500000	24.900000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
MKK	Masai	Masai	Masai in Kenya	-1.500000	35.200000		Africa (SGDP)	#12eeff	13	Simons Genome Diversity Project,Human Genome Structural Variation Consortium, Phase 3
	HezhenHGDP	Hezhen	Hezhen in China (HGDP)	47.500000	133.500000		East Asia (HGDP)	#b35200	9	Human Genome Diversity Project
	MandenkaHGDP	Mandenka	Mandenka in Senegal (HGDP)	12.000000	-12.000000		Africa (HGDP)	#f2c2ff	6	Human Genome Diversity Project
	MongolianHGDP	Mongolian	Mongolian in China (HGDP)	48.500000	119.000000		East Asia (HGDP)	#b35200	9	Human Genome Diversity Project
	OrcadianHGDP	Orcadian	Orcadian in Orkney (HGDP)	59.000000	-3.000000		Europe (HGDP)	#284600	10	Human Genome Diversity Project
	RussianHGDP	Russian	Russian in Russia (HGDP)	61.000000	40.000000		Europe (HGDP)	#284600	10	Human Genome Diversity Project
	AtayalSGDP	Atayal	Atayal in Taiwan (SGDP)	24.611712	121.296444		East Asia (SGDP)	#ff48de	16	Simons Genome Diversity Project
	IrulaSGDP	Irula	Irula in India (SGDP)	13.500000	80.000000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	IcelandicSGDP	Icelandic	Icelandic in Iceland (SGDP)	64.100000	-21.900000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	BantuKenyaSGDP	Bantu Kenya	Bantu Kenya in Kenya (SGDP)	-3.000000	37.000000		Africa (SGDP)	#12eeff	13	Simons Genome Diversity Project
	RelliSGDP	Relli	Relli in India (SGDP)	17.700000	83.300000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	SardinianSGDP	Sardinian	Sardinian in Italy (SGDP)	40.000000	9.000000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	DinkaSGDP	Dinka	Dinka in Sudan (SGDP)	8.794444	27.400000		Africa (SGDP)	#12eeff	13	Simons Genome Diversity Project
	NaxiSGDP	Naxi	Naxi in China (SGDP)	26.000000	100.000000		East Asia (SGDP)	#ff48de	16	Simons Genome Diversity Project
	YiHGDP	Yi	Yi in China (HGDP)	28.000000	103.000000		East Asia (HGDP)	#b35200	9	Human Genome Diversity Project
	BurushoSGDP	Burusho	Burusho in Pakistan (SGDP)	36.500000	74.000000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	MakraniSGDP	Makrani	Makrani in Pakistan (SGDP)	26.000000	64.000000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	SpanishSGDP	Spanish	Spanish in Spain (SGDP)	39.900000	-4.000000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	YemeniteJewSGDP	Yemenite Jew	Yemenite Jew in Yemen (SGDP)	15.400000	44.200000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	OroqenSGDP	Oroqen	Oroqen in China (SGDP)	50.400000	126.500000		East Asia (SGDP)	#ff48de	16	Simons Genome Diversity Project
	FrenchSGDP	French	French in France (SGDP)	46.000000	2.000000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	JordanianSGDP	Jordanian	Jordanian in Jordan (SGDP)	32.100000	35.900000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	SindhiSGDP	Sindhi	Sindhi in Pakistan (SGDP)	25.500000	69.000000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	KinhSGDP	Kinh	Kinh in Vietnam (SGDP)	21.000000	105.900000		East Asia (SGDP)	#ff48de	16	Simons Genome Diversity Project
	IranianSGDP	Iranian	Iranian in Iran (SGDP)	35.600000	51.500000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	ItelmanSGDP	Itelman	Itelman in Russia (SGDP)	57.000000	157.000000		Central Asia and Siberia (SGDP)	#01daa0	15	Simons Genome Diversity Project
	EsanSGDP	Esan	Esan in Nigeria (SGDP)	6.500000	6.000000		Africa (SGDP)	#12eeff	13	Simons Genome Diversity Project
	BergamoSGDP	Bergamo	Bergamo in Italy(Bergamo) (SGDP)	46.000000	10.000000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
